api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
ust21510,미국주식 주문체결 확인,ust21510,rest,해외주식,계좌,/api/us/acnt,Y
ust21530,미국주식 실현손익,ust21530,rest,해외주식,계좌,/api/us/acnt,Y
ust21531,미국주식 실현손익,ust21531,rest,해외주식,계좌,/api/us/acnt,Y
ust21610,미국주식 당일매매,ust21610,rest,해외주식,계좌,/api/us/acnt,Y
ust21620,미국주식 당일매매정리,ust21620,rest,해외주식,계좌,/api/us/acnt,Y
ust21630,미국주식 당일 실현손익,ust21630,rest,해외주식,계좌,/api/us/acnt,Y
ust21640,미국주식 일별 종목별 실현손익,ust21640,rest,해외주식,계좌,/api/us/acnt,Y
ust21650,미국주식 기간별 수익률 현황,ust21650,rest,해외주식,계좌,/api/us/acnt,Y
ust21660,미국주식 일별 실현손익,ust21660,rest,해외주식,계좌,/api/us/acnt,Y
ust21661,미국주식 일별 실현손익,ust21661,rest,해외주식,계좌,/api/us/acnt,Y
ust30130,미국주식 원화주문 가능금액,ust30130,rest,해외주식,기타,/api/us/etc,Y
ust30131,미국주식 원화주문 가능금액,ust30131,rest,해외주식,기타,/api/us/etc,Y
ust30132,미국주식 원화주문 가능금액,ust30132,rest,해외주식,기타,/api/us/etc,Y
ust30133,미국주식 원화주문 가능금액,ust30133,rest,해외주식,기타,/api/us/etc,Y
ust30140,미국주식 원화주문설정금 환전,ust30140,rest,해외주식,기타,/api/us/etc,Y
ust30141,미국주식 원화주문설정금 환전,ust30141,rest,해외주식,기타,/api/us/etc,Y
ust30142,미국주식 원화주문설정금 환전,ust30142,rest,해외주식,기타,/api/us/etc,Y
ust31280,자동환전조회취소,ust31280,rest,해외주식,기타,/api/us/etc,Y
ust31281,자동환전조회취소,ust31281,rest,해외주식,기타,/api/us/etc,Y
ust31290,목표환율 자동환전 신청,ust31290,rest,해외주식,기타,/api/us/etc,Y
ust31291,목표환율 자동환전 신청,ust31291,rest,해외주식,기타,/api/us/etc,Y
